date,open,high,low,close,volume
2013-03-21,1.03759,1.04573,1.03623,1.0437,98267
2013-03-22,1.04369,1.0459,1.04204,1.04427,68892
2013-03-24,1.04395,1.04606,1.0436,1.04472,7403
2013-03-25,1.04473,1.04784,1.04317,1.04601,98371
2013-03-26,1.04601,1.04959,1.04465,1.04729,81453
2013-03-27,1.04729,1.04812,1.04168,1.04474,80478
2013-03-28,1.04474,1.04565,1.03958,1.04146,82968
2013-03-29,1.04146,1.04261,1.04005,1.04159,35295
2013-03-31,1.04134,1.04188,1.0402,1.04109,2391
2013-04-01,1.04111,1.0439,1.0385,1.04353,44831
2013-04-02,1.04352,1.04783,1.04351,1.04552,73060
2013-04-03,1.04552,1.04963,1.04452,1.04525,76107
2013-04-04,1.04524,1.04918,1.03849,1.04227,116034
2013-04-05,1.04229,1.04368,1.03539,1.03885,105729
2013-04-07,1.03592,1.03749,1.03474,1.03506,7729
2013-04-08,1.03507,1.04227,1.03501,1.04183,85001
2013-04-09,1.04184,1.05082,1.04127,1.0486,103338
2013-04-10,1.04859,1.05512,1.04738,1.05355,91173
2013-04-11,1.05355,1.05813,1.04989,1.05443,98344
2013-04-12,1.05443,1.056,1.04783,1.05017,94329
2013-04-14,1.04988,1.05163,1.04926,1.05086,6518
2013-04-15,1.05086,1.05229,1.02894,1.03356,188493
2013-04-16,1.03356,1.03964,1.03069,1.03809,159736
2013-04-17,1.0381,1.03861,1.02756,1.02991,149585
2013-04-18,1.02993,1.03367,1.02679,1.02934,144691
2013-04-19,1.02934,1.03575,1.02742,1.02775,112678
2013-04-21,1.02777,1.02827,1.02692,1.0272,6059
2013-04-22,1.02721,1.03066,1.02347,1.02627,109524
2013-04-23,1.02625,1.02709,1.022,1.02573,127083
2013-04-24,1.02574,1.0296,1.02305,1.02749,109943
2013-04-25,1.0275,1.03384,1.02713,1.02911,94235
2013-04-26,1.02911,1.03355,1.02617,1.02799,98744
2013-04-28,1.02742,1.02894,1.02713,1.02825,4444
2013-04-29,1.02823,1.03572,1.02742,1.03402,76465
2013-04-30,1.03402,1.03841,1.03283,1.03696,96660
2013-05-01,1.03695,1.03808,1.02643,1.02814,107056
2013-05-02,1.02814,1.02814,1.02212,1.02523,120946
2013-05-03,1.02523,1.03222,1.02401,1.03142,94781
2013-05-05,1.03043,1.03099,1.0294,1.02964,4680
2013-05-06,1.02963,1.03059,1.02211,1.02434,75874
2013-05-07,1.02432,1.02503,1.01541,1.01738,116837
2013-05-08,1.01739,1.02074,1.01542,1.01887,99850
2013-05-09,1.01888,1.02535,1.00448,1.00746,142059
2013-05-10,1.00746,1.00926,0.996,1.00182,167845
2013-05-12,0.99928,1.00143,0.99793,0.99831,11491
2013-05-13,0.99831,1.00102,0.99393,0.99686,153418
2013-05-14,0.99686,1.00028,0.9876,0.99047,165585
2013-05-15,0.99051,0.99185,0.98517,0.98965,167793
2013-05-16,0.98965,0.99123,0.97963,0.98238,186558
2013-05-17,0.98238,0.98261,0.97103,0.97343,158191
2013-05-19,0.97501,0.97688,0.97364,0.97634,13504
2013-05-20,0.9763,0.98264,0.974,0.98124,159591
2013-05-21,0.98124,0.98415,0.97504,0.98169,186060
2013-05-22,0.98169,0.98271,0.96539,0.96629,231891
2013-05-23,0.96629,0.97777,0.95927,0.96816,259000
2013-05-24,0.96817,0.97074,0.96333,0.96467,181566
2013-05-26,0.96363,0.96568,0.96254,0.9633,10939
2013-05-27,0.9633,0.96647,0.9614,0.96274,96867
2013-05-28,0.96274,0.9695,0.95546,0.9571,186915
2013-05-29,0.95709,0.96694,0.95272,0.96316,197075
2013-05-30,0.96315,0.96965,0.9581,0.96666,224374
2013-05-31,0.96667,0.96797,0.95477,0.95729,196431
2013-06-02,0.96135,0.96271,0.95893,0.96185,10292
2013-06-03,0.96185,0.97908,0.95975,0.97487,208398
2013-06-04,0.97487,0.97594,0.96095,0.96382,205187
2013-06-05,0.96382,0.96567,0.95071,0.95071,224974
2013-06-06,0.9507,0.96555,0.94335,0.95555,273961
2013-06-07,0.95556,0.95731,0.94268,0.94876,246705
2013-06-09,0.93986,0.94328,0.93903,0.94198,14465
2013-06-10,0.94199,0.94799,0.9398,0.94247,197247
2013-06-11,0.94247,0.94737,0.93246,0.94537,271753
2013-06-12,0.94537,0.95626,0.94146,0.94685,222162
2013-06-13,0.94685,0.96651,0.94277,0.96105,235203
2013-06-14,0.96104,0.96546,0.95664,0.95696,204466
2013-06-16,0.95631,0.95777,0.95546,0.95652,7962
2013-06-17,0.95652,0.96403,0.95079,0.95545,149616
